 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Região/Unidade da Federação e Ano processamento
Período:Jan/2008-Abr/2021
"Região/Unidade da Federação";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"Região Norte";505624005,61;608606418,39;636847186,47;652958804,27;655108967,04;704590691,61;711435979,59;753518395,91;766488526,86;808756573,42;845120456,70;889889122,08;963910831,03;332412245,30;9835268204,28
".. Rondônia";28678308,60;43168433,96;51784823,62;54267636,35;51181258,99;66472516,81;79095836,74;86163443,56;91955338,88;95261076,71;102091843,39;109113101,49;109162846,22;40896683,73;1009293149,05
".. Acre";22365143,69;27339128,19;28773343,06;33510058,61;32929373,49;33605893,87;36039320,36;37262018,93;40487149,58;37245525,42;34432565,81;34709598,96;40018213,54;17638813,63;456356147,14
".. Amazonas";95655211,98;105997335,28;114040833,27;121643071,13;124449598,86;129056584,80;121900696,54;151278739,06;147812237,69;160820207,41;175744827,43;189256198,89;210240243,79;92559430,22;1940455216,35
".. Roraima";10983016,60;17116094,26;20249589,01;17108611,37;21279908,04;21540894,01;19757952,27;24556486,66;29133807,87;31338348,90;33851454,13;34320141,86;36868427,83;15629909,68;333734642,49
".. Pará";269639839,22;317444388,93;320749087,16;321149377,64;315536309,93;340687749,39;342851637,96;353977050,33;357148898,98;388952636,23;410173716,47;410805540,79;446923277,28;133461010,12;4729500520,43
".. Amapá";16355880,94;21871680,65;20736476,68;22010050,32;23197926,19;24101437,86;23354262,75;22053145,67;21916972,06;22366616,97;25843955,47;29370406,98;27872333,42;12425769,03;313476914,99
".. Tocantins";61946604,58;75669357,12;80513033,67;83269998,85;86534591,54;89125614,87;88436272,97;78227511,70;78034121,80;72772161,78;62982094,00;82314133,11;92825488,95;19800628,89;1052451613,83
"Região Nordeste";1916086970,46;2327208036,62;2445893496,98;2554232272,84;2636180067,13;2926064663,58;3073249852,18;3190978440,34;3265072350,81;3404028888,35;3535149754,58;3701739337,41;3793048963,96;1548435347,49;40317368442,73
".. Maranhão";174304121,61;215074441,27;237304510,94;247828815,64;260168410,88;287730036,64;301805294,56;311541016,04;307485045,93;333689604,72;351572006,86;366407811,12;375190508,98;149413342,25;3919514967,44
".. Piauí";125324961,56;146491970,81;148868247,30;148248542,98;150000009,87;165825709,14;164802466,18;174857185,86;188677491,61;186604619,98;195934078,96;206820114,53;216327100,01;88916496,44;2307698995,23
".. Ceará";336173822,14;405557699,57;411994714,69;420071589,40;426195922,41;477905999,53;510177372,22;527062987,37;540114355,29;551317375,87;573956797,72;607937295,27;636093231,17;244434700,10;6668993862,75
".. Rio Grande do Norte";123103680,55;145904288,30;160171603,46;170233207,77;172064943,34;184889611,50;193227602,99;210853738,06;212854443,28;218447439,60;240919860,46;266652744,15;283172908,55;117312266,05;2699808338,06
".. Paraíba";148131074,59;184161031,38;191712150,93;183856643,96;180091112,57;196189793,35;194470103,49;189634905,54;192764395,74;208882120,74;218267536,76;232234991,55;227946063,59;96196125,19;2644538049,38
".. Pernambuco";368178903,99;438285002,54;457833056,84;506152167,44;541989486,37;645113247,98;703527971,01;717003467,19;733193554,40;792199747,81;800658730,01;819736634,40;814054919,18;340994909,28;8678921798,44
".. Alagoas";109226734,11;132886107,72;142837203,93;152529100,85;148620456,33;169991894,11;163585154,41;177761701,65;177582559,02;191840311,19;201009115,58;204786689,26;205569621,04;84961980,08;2263188629,28
".. Sergipe";55438872,28;67738437,82;78521040,22;78823673,85;83200215,20;86017057,89;83949080,41;96666330,17;102263264,46;99807105,65;107312506,79;117487663,63;120241590,98;53308546,46;1230775385,81
".. Bahia";476204799,63;591109057,21;616650968,67;646488530,95;673849510,16;712401313,44;757704806,91;785597108,46;810137241,08;821240562,79;845519121,44;879675393,50;914453020,46;372896981,64;9903928416,34
"Região Sudeste";3648436984,50;4495229244,04;4805332252,38;5101695052,47;5241233878,15;5612229723,44;5945923577,72;6042134750,31;6050257294,47;6242423163,15;6453818866,59;6753618477,26;7102479666,41;2964433293,81;76459246224,70
".. Minas Gerais";953038363,13;1159958411,42;1223766111,25;1321731004,61;1402515081,39;1517973272,78;1658840666,80;1674939603,04;1657939988,05;1718544163,79;1790290126,08;1889157110,44;1897881840,10;827593022,43;20694168765,31
".. Espírito Santo";135886506,76;173153479,47;185140019,93;207275860,71;220412665,91;238504840,47;253097937,91;267235078,66;296978830,46;309155832,58;303425629,23;319947622,99;370259514,46;180700794,21;3461174613,75
".. Rio de Janeiro";519987783,20;617474419,94;668249294,60;684603494,29;689807509,04;718419831,03;765976172,49;814738275,82;790282302,29;853543221,39;918095799,51;976876703,73;1032894622,93;408735580,46;10459685010,72
".. São Paulo";2039524331,41;2544642933,21;2728176826,60;2888084692,86;2928498621,81;3137331779,16;3268008800,52;3285221792,79;3305056173,67;3361179945,39;3442007311,77;3567637040,10;3801443688,92;1547403896,71;41844217834,92
"Região Sul";1623168414,16;1970746435,46;2094562624,07;2208926002,67;2305975663,31;2564617707,83;2715165854,44;2843216198,18;2935110544,22;3063236443,29;3239342807,84;3384345995,10;3347984699,00;1369350810,09;35665750199,66
".. Paraná";658920785,18;791002497,01;855480910,05;918922472,81;951800112,02;1020930795,65;1063177083,80;1116764284,11;1224621412,80;1333212214,45;1453914663,28;1493484390,79;1404273584,36;551439520,72;14837944727,03
".. Santa Catarina";332747333,49;422107491,92;444376400,13;482941267,30;507951182,58;573083638,11;626008038,37;649716373,14;663853492,72;676676323,29;711391945,08;759243377,08;757351145,93;311937075,65;7919385084,79
".. Rio Grande do Sul";631500295,49;757636446,53;794705313,89;807062262,56;846224368,71;970603274,07;1025980732,27;1076735540,93;1046635638,70;1053347905,55;1074036199,48;1131618227,23;1186359968,71;505974213,72;12908420387,84
"Região Centro-Oeste";592739566,57;723128494,76;758118808,58;790600332,94;817622746,14;890857131,24;924632361,73;958135057,10;984174761,58;1000133090,11;1032956321,35;1086457561,04;1170665911,60;499318694,98;12229540839,72
".. Mato Grosso do Sul";107780107,42;134933491,09;145562194,66;149057896,87;152577852,42;168376595,75;174087791,31;186415626,22;190977047,16;194544177,74;201939866,02;218562922,14;228676999,56;96470458,26;2349963026,62
".. Mato Grosso";104322027,09;134879528,76;144501072,57;141447394,72;149618209,33;156755385,20;164696707,99;173915288,36;181948081,80;185882129,14;190680812,60;189645101,04;204926335,19;83475930,06;2206694003,85
".. Goiás";241210304,82;287960230,30;302067940,05;329396993,24;336047814,62;378866106,13;400943736,86;420280242,13;410610981,83;414555691,08;407220316,61;438382657,52;471671554,20;202836271,00;5042050840,39
".. Distrito Federal";139427127,24;165355244,61;165987601,30;170698048,11;179378869,77;186859044,16;184904125,57;177523900,39;200638650,79;205151092,15;233115326,12;239866880,34;265391022,65;116536035,66;2630832968,86
"Total";8286055941,30;10124918629,27;10740754368,48;11308412465,19;11656121321,77;12698359917,70;13370407625,66;13787982841,84;14001103477,94;14518578158,32;15106388207,06;15816050492,89;16378090072,00;6713950391,67;174507173911,09
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
