 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor médio intern por Região/Unidade da Federação e Ano/mês atendimento
Período:Jan/2008-Abr/2021
"Região/Unidade da Federação";"2007/Jan";"2007/Fev";"2007/Mar";"2007/Abr";"2007/Mai";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"Total"
"Região Norte";526,19;431,79;...;531,94;928,80;6301,89;741,39;479,31;560,37;673,10;630,38;545,24;554,83;514,94;523,04;533,43;542,84;544,50;542,00;540,87;551,12;568,59;590,87;619,71;603,90;605,95;605,07;612,03;609,70;619,35;614,93;620,29;616,51;632,11;616,13;618,55;613,86;612,17;620,36;635,07;641,26;635,73;643,97;627,79;641,47;644,18;642,95;643,13;648,77;643,48;646,60;659,83;662,30;666,51;677,45;659,14;661,73;668,32;663,21;655,55;660,39;652,53;661,70;652,75;683,15;673,30;676,29;682,20;680,04;688,11;685,94;689,67;678,30;676,90;675,52;689,88;708,23;703,32;710,24;715,80;715,86;715,99;719,51;714,51;724,98;711,28;707,32;725,29;730,14;746,76;741,67;733,00;737,63;749,18;758,75;776,72;781,40;780,46;779,52;778,80;773,80;798,11;803,04;789,26;797,54;803,27;791,64;799,89;792,48;781,68;793,10;796,59;826,84;843,02;831,04;821,13;829,00;834,80;838,07;885,74;830,19;826,64;833,79;829,11;819,49;837,19;858,48;830,51;844,72;828,00;838,07;849,31;848,26;836,81;833,63;824,43;847,37;852,87;877,14;873,17;866,02;890,26;869,42;876,33;870,50;865,26;850,91;844,95;829,30;846,57;916,95;898,92;885,82;887,95;886,04;908,09;899,89;909,60;916,26;1064,68;1327,97;1287,73;1175,06;1135,38;1071,19;1028,28;1070,19;1112,66;1140,94;1084,09;1169,58;1081,57;758,96
".. Rondônia";...;604,33;...;...;...;...;...;601,34;390,41;1272,81;882,73;389,36;349,02;348,94;383,10;414,17;442,96;430,32;419,97;400,75;413,66;416,70;414,99;452,22;445,70;445,20;458,97;480,12;469,64;456,78;471,92;464,08;458,83;453,72;439,15;434,68;439,71;492,36;516,05;529,12;554,25;555,87;555,98;518,02;555,59;548,81;533,44;552,89;533,63;551,46;537,91;575,77;570,97;572,31;552,79;550,45;530,79;530,29;531,75;545,05;548,60;555,31;567,07;545,00;532,19;557,58;531,19;545,03;542,87;539,73;544,19;542,05;550,50;542,42;587,55;575,37;586,30;583,28;621,36;636,45;712,25;658,43;705,11;677,70;670,54;691,36;693,82;671,38;728,35;710,69;727,43;688,97;695,62;706,64;713,00;740,32;767,95;766,76;753,63;782,26;771,21;813,11;793,54;763,12;792,95;824,55;831,17;853,50;800,13;767,34;798,59;785,00;848,84;862,51;855,49;847,16;820,74;852,82;813,99;859,11;824,77;869,66;849,90;854,36;805,13;854,91;867,35;831,60;822,37;842,86;826,83;843,99;865,21;847,83;843,06;813,61;869,87;816,46;895,07;882,58;856,00;812,14;857,73;856,96;887,84;902,43;856,07;854,08;840,62;860,52;897,30;896,11;828,76;860,84;863,35;878,28;846,57;886,95;832,52;1046,74;1204,96;1439,29;1251,19;1291,43;1059,42;928,89;987,25;1071,85;1123,89;1249,65;1840,71;2238,27;723,30
".. Acre";184,65;...;...;...;...;1099,17;...;2094,01;823,63;862,01;525,87;516,52;463,65;468,43;494,22;487,29;498,00;471,77;496,97;493,56;498,54;538,72;540,23;541,05;531,02;551,77;547,99;560,81;567,82;552,78;541,82;566,47;680,64;540,75;592,28;560,08;590,37;573,95;562,96;574,16;591,32;585,36;575,84;598,39;620,53;595,88;609,36;616,82;595,01;599,06;612,61;615,29;645,30;624,35;652,88;679,26;662,39;673,43;653,61;671,81;619,87;632,16;668,59;651,77;642,62;641,07;623,83;629,71;684,82;656,14;649,40;659,22;626,37;685,39;615,68;643,97;678,22;660,73;674,71;657,87;655,25;655,20;623,95;660,75;690,95;644,17;690,74;672,81;678,50;697,19;675,01;717,08;653,72;678,39;734,22;700,99;777,52;783,22;734,78;771,18;756,89;800,40;730,63;768,61;755,37;765,56;826,98;791,51;798,44;768,71;809,00;834,74;867,96;846,64;872,34;863,11;840,55;773,40;907,20;849,67;797,70;903,05;942,90;834,98;840,36;869,90;908,85;838,58;873,37;841,70;795,09;719,80;748,97;786,20;771,35;716,95;804,35;796,28;820,85;750,04;773,30;789,62;793,54;753,14;739,34;706,64;758,82;830,25;755,36;815,12;884,81;769,91;755,19;800,92;869,66;823,02;853,33;787,38;805,83;944,81;1043,59;1292,45;1142,04;1023,58;931,90;822,53;909,82;988,36;994,64;1087,71;1055,89;743,84;711,54
".. Amazonas";378,28;475,94;...;531,94;...;...;212,75;605,98;660,44;736,30;726,76;596,19;837,92;573,81;581,18;595,66;609,23;593,11;586,22;578,07;610,53;609,56;639,49;644,38;683,93;689,07;662,81;667,36;683,56;707,36;701,53;675,04;688,80;730,81;682,62;666,65;693,17;675,19;706,15;730,60;721,09;693,48;693,07;694,17;722,48;710,65;721,53;701,52;701,14;701,49;721,31;731,84;739,52;736,12;747,31;726,59;755,58;741,98;749,87;744,84;771,71;736,54;748,45;739,15;782,88;765,85;772,42;758,09;740,35;716,32;748,15;725,75;722,21;761,36;738,25;760,04;771,96;748,56;756,25;802,43;791,02;781,64;774,57;760,05;754,14;739,20;802,46;814,74;804,31;861,46;813,55;830,02;830,39;847,58;853,82;867,60;876,61;877,19;891,06;919,71;855,99;900,43;890,60;930,41;886,83;928,30;845,39;870,82;817,44;896,00;890,50;895,23;926,45;912,53;915,36;893,82;890,85;908,88;877,73;957,16;899,02;894,83;908,18;941,38;893,07;906,31;961,61;883,66;969,81;899,56;932,73;951,58;946,55;931,73;947,97;913,52;942,41;953,02;955,06;1015,25;997,10;1009,44;938,91;969,31;956,58;946,31;949,25;987,26;992,02;966,78;988,96;959,50;939,74;961,43;922,22;967,91;962,85;980,76;965,50;1332,44;1478,70;1322,03;1252,11;1189,59;1184,50;1186,11;1329,75;1335,04;1520,33;1335,33;1285,23;886,48;856,14
".. Roraima";...;...;...;...;...;413,69;...;341,85;1482,33;600,72;451,50;419,87;425,95;443,75;427,99;405,68;425,38;408,84;450,78;454,87;474,36;478,49;576,44;622,62;533,40;516,44;563,44;610,75;574,99;567,97;518,15;586,09;615,10;613,58;652,97;687,36;629,98;637,81;642,51;662,46;648,03;610,66;608,49;660,23;692,67;661,28;604,53;623,50;631,60;615,01;614,41;631,55;640,89;681,94;641,03;605,62;635,34;686,95;620,28;637,18;651,86;635,82;629,17;606,52;656,73;671,40;689,43;684,46;683,70;697,59;640,44;693,13;659,61;640,97;641,75;632,13;598,98;633,37;632,36;633,45;616,01;628,81;640,92;677,25;605,59;628,68;664,87;662,92;672,46;714,56;640,88;650,22;678,24;653,67;713,46;765,47;708,52;684,42;661,81;704,35;653,90;737,17;709,46;721,88;728,44;713,58;696,09;758,74;796,32;704,80;750,96;748,27;718,72;738,13;708,32;687,27;712,80;718,59;677,26;777,03;723,55;690,70;692,99;669,70;692,46;715,40;719,81;758,02;732,98;716,42;737,77;763,29;748,28;764,45;769,33;796,62;763,30;778,17;721,40;822,19;754,77;784,42;774,93;749,38;757,18;750,98;821,87;767,28;781,77;754,93;730,69;778,97;776,15;753,12;795,19;813,85;826,74;825,82;815,17;892,46;1013,01;1109,62;1036,39;979,10;902,07;973,35;1085,98;932,88;984,49;1228,88;1528,36;928,55;711,49
".. Pará";624,36;363,83;...;...;210,20;399,57;2371,98;448,41;543,13;591,25;587,50;531,98;496,66;500,34;511,84;523,91;531,50;541,85;535,47;545,69;548,88;562,56;595,89;626,54;596,12;587,29;603,71;601,76;593,44;606,36;596,50;606,41;597,50;620,82;606,59;617,02;603,98;602,65;594,07;609,07;613,38;616,00;623,01;607,84;614,88;618,09;619,39;622,79;632,51;622,46;626,74;642,38;638,26;640,67;662,11;631,55;641,15;649,94;643,32;633,02;630,23;625,81;629,22;625,32;655,09;641,13;639,09;654,56;658,02;678,50;664,48;674,51;662,43;648,97;647,81;669,81;692,62;696,45;707,78;700,11;687,97;702,88;704,94;701,97;721,30;703,22;669,45;696,36;692,07;708,05;707,52;700,57;711,20;711,04;734,75;744,44;740,70;739,93;742,83;722,28;743,21;739,95;765,04;731,16;759,12;752,34;753,68;747,51;751,75;724,97;741,45;738,37;774,47;800,02;784,05;780,72;809,81;801,50;826,43;865,05;809,26;786,54;798,02;792,10;796,76;801,24;819,91;806,90;820,72;806,56;827,99;834,84;820,88;810,40;808,46;814,13;820,13;832,18;851,84;835,13;837,88;881,56;851,34;857,53;836,39;837,74;805,96;773,64;761,08;772,38;902,15;897,26;896,21;872,23;879,43;903,58;893,89;898,07;922,33;1006,33;1374,48;1267,12;1124,54;1046,15;1007,73;1000,31;998,21;1038,45;1006,52;941,62;931,71;1033,52;727,17
".. Amapá";...;...;...;...;1647,39;2584,91;507,82;448,97;385,38;458,83;432,56;526,85;488,75;507,79;492,78;524,36;515,15;526,45;511,31;528,95;543,54;542,15;568,83;546,51;547,37;602,01;564,83;586,90;566,19;569,46;572,17;607,32;563,83;596,27;578,62;536,71;557,99;533,51;583,84;593,56;565,83;578,19;570,89;557,61;541,27;576,72;614,34;570,76;626,98;603,86;595,06;589,36;573,61;564,70;578,32;607,97;563,60;593,43;584,58;544,22;611,23;602,35;573,92;586,60;646,91;615,49;600,99;625,42;621,25;621,57;598,05;587,17;635,33;614,88;626,67;646,70;664,32;676,47;645,46;620,69;615,45;655,95;603,57;611,74;682,72;617,27;645,49;665,99;613,89;693,48;653,44;620,87;615,81;629,54;567,47;572,82;633,47;646,25;643,09;635,30;615,25;656,67;663,21;651,30;678,89;609,26;632,13;620,75;633,27;680,06;665,48;717,60;692,01;700,12;693,64;646,59;658,65;679,16;618,20;701,92;648,44;636,42;645,25;624,69;686,59;723,76;658,62;644,08;653,78;675,79;669,52;648,46;688,13;691,67;668,48;647,92;666,53;673,44;721,65;686,62;674,99;723,76;695,87;713,97;706,81;757,29;737,13;726,60;650,32;790,90;728,81;690,52;727,34;730,78;679,03;710,72;709,63;745,38;773,47;773,23;1093,23;1045,18;923,76;902,96;897,75;887,53;939,35;957,05;899,88;903,55;1020,98;919,43;650,41
".. Tocantins";...;578,69;...;...;...;34446,08;586,69;514,22;1596,52;1668,46;894,30;609,19;619,30;643,89;607,35;607,72;610,73;637,66;666,86;624,65;630,17;708,17;680,14;747,46;734,26;764,46;724,05;752,42;773,73;754,08;795,59;794,11;765,74;788,73;752,83;781,96;743,74;720,36;754,50;755,15;798,24;781,58;835,78;759,89;763,91;800,53;786,29;783,48;790,65;781,88;762,10;761,05;788,16;818,62;815,94;818,54;780,91;784,30;776,89;767,07;786,40;777,75;798,50;775,41;835,30;813,53;869,48;851,20;830,85;870,61;891,79;888,00;850,75;841,49;859,80;853,82;861,16;830,76;807,29;830,22;832,93;817,86;832,85;821,79;829,83;825,29;819,54;864,78;897,06;852,36;916,97;865,54;868,19;927,13;872,46;943,01;919,82;909,48;921,66;898,21;904,28;968,75;993,78;964,29;949,12;957,52;943,78;1001,94;1058,29;978,99;945,98;975,72;962,77;1031,28;987,86;1012,16;962,44;1020,53;1000,44;1045,04;973,00;962,39;959,06;933,68;934,71;966,32;981,61;976,70;883,33;897,53;861,30;919,11;957,79;910,12;853,07;857,62;913,49;982,52;1050,50;978,51;988,86;1000,15;1015,38;1015,69;1086,69;990,40;991,43;1010,55;969,24;1036,54;1080,47;996,52;994,55;1049,66;1023,47;1012,44;1013,47;1027,20;1053,88;1061,44;1284,57;1317,81;1370,62;1554,68;1425,33;1168,07;1126,86;1322,68;1157,22;883,63;1878,93;1683,09;876,60
"Região Nordeste";2129,85;1019,10;...;1211,48;2402,36;10996,58;3854,96;966,53;1001,30;919,13;878,65;718,98;965,23;611,15;616,20;597,42;615,75;634,15;694,99;644,05;649,68;683,35;712,79;736,32;832,33;720,49;710,57;723,45;722,61;744,98;742,21;754,13;744,02;749,46;738,61;753,55;922,72;741,91;748,35;747,60;766,78;752,28;755,98;769,85;764,11;773,18;767,39;788,25;784,14;781,62;775,59;790,33;804,33;810,56;834,48;844,51;824,27;832,31;816,88;818,93;852,16;835,77;824,52;842,37;857,79;857,61;877,13;885,97;868,50;905,75;914,19;947,29;941,56;926,79;916,72;935,71;936,40;944,89;964,93;981,13;991,67;985,75;981,40;988,95;1023,39;1002,80;983,31;987,64;995,73;1001,87;1016,99;1007,26;1012,51;1015,94;1020,97;1033,37;1034,00;1034,18;1013,50;1005,99;1019,62;1036,86;1044,64;1054,88;1041,64;1050,46;1056,19;1051,30;1062,28;1015,83;1040,70;1038,47;1070,78;1085,95;1084,46;1085,81;1076,14;1108,91;1123,05;1149,44;1115,98;1092,38;1078,52;1080,55;1090,47;1094,89;1112,92;1122,49;1118,71;1121,73;1109,33;1110,27;1114,21;1108,79;1086,96;1084,01;1092,97;1104,31;1117,10;1126,09;1097,15;1135,11;1127,40;1121,61;1141,94;1130,30;1103,49;1094,93;1120,35;1126,83;1148,38;1144,70;1153,32;1141,61;1146,62;1160,93;1177,44;1146,57;1166,68;1362,14;1554,31;1622,91;1617,77;1518,94;1403,79;1377,50;1413,12;1536,08;1513,21;1570,02;1701,94;1383,06;983,55
".. Maranhão";691,77;478,52;...;295,36;2363,53;...;2491,81;835,86;923,26;812,60;690,86;631,25;823,18;520,46;519,82;519,00;525,63;524,77;529,90;524,84;535,93;576,98;603,34;615,73;586,39;577,54;581,25;591,13;596,23;611,80;603,77;604,38;586,59;587,55;600,07;613,38;590,86;586,34;618,68;599,08;606,99;601,24;612,16;604,90;591,82;592,98;583,26;588,44;583,08;591,16;594,72;611,87;607,35;619,33;624,06;621,06;618,93;603,43;595,61;618,77;646,49;634,88;615,28;646,78;669,04;658,79;676,96;677,46;653,48;674,10;689,67;716,51;728,54;694,92;688,65;693,31;702,85;734,01;709,68;706,00;712,85;719,46;708,61;707,41;715,29;716,19;723,53;727,77;733,97;728,73;740,90;732,42;732,97;750,36;751,63;726,73;754,76;719,50;709,73;736,79;769,37;728,65;759,41;751,67;743,06;733,55;733,04;736,19;728,61;709,52;730,96;737,60;757,76;763,05;783,40;775,73;780,97;795,69;795,14;804,56;763,20;756,19;757,19;744,33;755,48;749,87;761,86;794,27;765,75;764,53;760,63;754,51;731,75;757,20;760,41;752,49;728,43;741,76;780,06;755,72;764,88;762,66;751,11;782,15;784,93;783,26;766,97;761,59;788,81;794,49;807,53;818,76;832,65;773,06;818,16;817,96;825,31;806,26;842,32;967,44;1230,50;1209,25;1056,98;994,49;967,47;982,49;974,69;1023,39;948,47;1044,63;1417,36;1244,90;724,80
